dataset,strategy,seed,task_id,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
MNIST,stale_t0_seed,2,0,600,0.9133333333333333,0.0,0.93,0.155,1.0,0.07,0.93,0.06999999999999995,0.982078853046595,0.016666666666666666,0.9516666666666667,1.0
MNIST,stale_t0_seed,2,1,600,0.9566666666666667,0.0,0.9716666666666667,0.16194444444444442,1.0,0.028333333333333332,0.9716666666666667,0.02833333333333332,0.9845626072041166,0.015,0.9716666666666667,1.0
MNIST,stale_t0_seed,2,2,600,0.9166666666666666,0.0,0.945,0.1575,1.0,0.055,0.945,0.05500000000000005,0.9700176366843033,0.028333333333333332,0.9433333333333334,1.0
MNIST,stale_t0_seed,2,3,600,0.9433333333333334,0.0,0.9583333333333334,0.1597222222222222,1.0,0.041666666666666664,0.9583333333333334,0.04166666666666663,0.9843478260869565,0.015,0.9733333333333334,1.0
MNIST,stale_t0_seed,2,4,600,0.91,0.0,0.9283333333333333,0.1547222222222222,1.0,0.07166666666666667,0.9283333333333333,0.07166666666666666,0.9802513464991023,0.018333333333333333,0.9416666666666667,1.0
MNIST,stale_t0_seed,3,0,600,0.9316666666666666,0.0,0.9366666666666666,0.15611111111111112,1.0,0.06333333333333334,0.9366666666666666,0.06333333333333335,0.994661921708185,0.005,0.9733333333333334,1.0
MNIST,stale_t0_seed,3,1,600,0.935,0.0,0.945,0.1575,1.0,0.055,0.945,0.05500000000000005,0.9894179894179894,0.01,0.965,1.0
MNIST,stale_t0_seed,3,2,600,0.8933333333333333,0.00666666666666671,0.9,0.15,1.0,0.1,0.9,0.09999999999999998,0.9925925925925926,0.006666666666666667,0.9616666666666667,1.0
MNIST,stale_t0_seed,3,3,600,0.94,0.0,0.9466666666666667,0.1577777777777778,1.0,0.05333333333333334,0.9466666666666667,0.053333333333333344,0.9929577464788732,0.006666666666666667,0.9783333333333334,1.0
MNIST,stale_t0_seed,3,4,600,0.9033333333333333,0.0,0.9183333333333333,0.15305555555555556,1.0,0.08166666666666667,0.9183333333333333,0.08166666666666667,0.9836660617059891,0.015,0.9666666666666667,1.0
MNIST,stale_t0_seed,4,0,600,0.8566666666666667,0.043333333333333335,0.8583333333333333,0.14305555555555557,1.0,0.14166666666666666,0.8583333333333333,0.14166666666666672,0.9980582524271845,0.0016666666666666668,0.9833333333333333,1.0
MNIST,stale_t0_seed,4,1,600,0.6466666666666666,0.2533333333333334,0.6516666666666666,0.10861111111111109,1.0,0.34833333333333333,0.6516666666666666,0.3483333333333334,0.9923273657289002,0.005,0.9616666666666667,1.0
MNIST,stale_t0_seed,4,2,600,0.375,0.525,0.38,0.06333333333333334,1.0,0.62,0.38,0.62,0.9868421052631579,0.005,0.94,1.0
MNIST,stale_t0_seed,4,3,600,0.7866666666666666,0.1133333333333334,0.7883333333333333,0.1313888888888889,1.0,0.21166666666666667,0.7883333333333333,0.21166666666666667,0.9978858350951374,0.0016666666666666668,0.9683333333333334,1.0
MNIST,stale_t0_seed,4,4,600,0.4716666666666667,0.42833333333333334,0.4716666666666667,0.07861111111111109,1.0,0.5283333333333333,0.4716666666666667,0.5283333333333333,1.0,0.0,0.9683333333333334,1.0
MNIST,oracle_task,0,0,600,0.8283333333333334,0.07166666666666666,0.835,0.13916666666666666,1.0,0.165,0.835,0.16500000000000004,0.9920159680638723,0.006666666666666667,0.965,1.0
MNIST,oracle_task,0,1,600,0.845,0.05500000000000005,0.8466666666666667,0.1411111111111111,1.0,0.15333333333333332,0.8466666666666667,0.15333333333333332,0.9980314960629921,0.0016666666666666668,0.9683333333333334,1.0
MNIST,oracle_task,0,2,600,0.8883333333333333,0.011666666666666714,0.9083333333333333,0.1513888888888889,1.0,0.09166666666666666,0.9083333333333333,0.09166666666666667,0.9779816513761468,0.02,0.9483333333333334,1.0
MNIST,oracle_task,0,3,600,0.88,0.020000000000000018,0.885,0.1475,1.0,0.115,0.885,0.11499999999999999,0.9943502824858758,0.005,0.9883333333333333,1.0
MNIST,oracle_task,0,4,600,0.8916666666666667,0.008333333333333304,0.91,0.15166666666666667,1.0,0.09,0.91,0.08999999999999997,0.9798534798534798,0.018333333333333333,0.9516666666666667,1.0
MNIST,oracle_task,1,0,600,0.9,0.0,0.9016666666666666,0.15027777777777776,1.0,0.09833333333333333,0.9016666666666666,0.09833333333333338,0.9981515711645101,0.0016666666666666668,0.9766666666666667,1.0
MNIST,oracle_task,1,1,600,0.9033333333333333,0.0,0.9116666666666666,0.15194444444444444,1.0,0.08833333333333333,0.9116666666666666,0.08833333333333337,0.9908592321755028,0.008333333333333333,0.9666666666666667,1.0
MNIST,oracle_task,1,2,600,0.9133333333333333,0.0,0.95,0.15833333333333333,1.0,0.05,0.95,0.050000000000000044,0.9614035087719298,0.03666666666666667,0.945,1.0
MNIST,oracle_task,1,3,600,0.875,0.025000000000000022,0.88,0.14666666666666667,1.0,0.12,0.88,0.12,0.9943181818181818,0.005,0.9583333333333334,1.0
MNIST,oracle_task,1,4,600,0.8966666666666666,0.0033333333333334103,0.91,0.15166666666666667,1.0,0.09,0.91,0.08999999999999997,0.9853479853479854,0.013333333333333334,0.965,1.0
