dataset,source_final_avg_accuracy,oracle_coverage,set_compactness,context_accuracy,oracle_singleton_action_rate
MNIST,0.9642,0.8889333333333334,0.8500777777777777,1.0,0.8995333333333333
FashionMNIST,0.901,0.9000666666666666,0.8288444444444445,0.92,0.8982666666666667
PermutedMNIST,0.9698,0.9028666666666666,0.8469888888888889,1.0,0.9168666666666667
RotatedMNIST,0.9678,0.9007333333333334,0.8478,1.0,0.9132
SplitCIFAR10,0.91395,0.9045333333333334,0.8998933333333333,1.0,0.9242666666666667
SplitCIFAR100,0.53556,0.90624,0.9147021333333334,0.9329333333333333,0.09442666666666667
CORe50,0.3149,0.9010933333333334,0.4265359999999999,0.7105066666666666,0.00148
