dataset,strategy,seed,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
MNIST,inferred_bucket,2,3000,0.897,0.0030000000000000027,0.9093333333333333,0.15155555555555555,1.0,0.09066666666666667,0.9093333333333333,0.09066666666666667,0.9864369501466276,0.012333333333333333,0.9563333333333334,1.0
MNIST,inferred_bucket,3,3000,0.9203333333333333,0.0,0.9283333333333333,0.15472222222222223,1.0,0.07166666666666667,0.9283333333333333,0.07166666666666666,0.9913824057450629,0.008,0.969,1.0
MNIST,inferred_bucket,4,3000,0.863,0.03700000000000003,0.8723333333333333,0.1453888888888889,1.0,0.12766666666666668,0.8723333333333333,0.1276666666666667,0.9893007260221628,0.009333333333333334,0.9643333333333334,1.0
MNIST,oracle_qhat_selected_by_inferred_context,0,3000,0.8666666666666667,0.033333333333333326,0.877,0.14616666666666667,1.0,0.123,0.877,0.123,0.9882174078297226,0.010333333333333333,0.9643333333333334,1.0
MNIST,oracle_qhat_selected_by_inferred_context,1,3000,0.8976666666666666,0.0023333333333334094,0.9106666666666666,0.15177777777777776,1.0,0.08933333333333333,0.9106666666666666,0.08933333333333338,0.9857247437774525,0.013,0.9623333333333334,1.0
MNIST,oracle_qhat_selected_by_inferred_context,2,3000,0.897,0.0030000000000000027,0.9093333333333333,0.15155555555555555,1.0,0.09066666666666667,0.9093333333333333,0.09066666666666667,0.9864369501466276,0.012333333333333333,0.9563333333333334,1.0
MNIST,oracle_qhat_selected_by_inferred_context,3,3000,0.9203333333333333,0.0,0.9283333333333333,0.15472222222222223,1.0,0.07166666666666667,0.9283333333333333,0.07166666666666666,0.9913824057450629,0.008,0.969,1.0
MNIST,oracle_qhat_selected_by_inferred_context,4,3000,0.863,0.03700000000000003,0.8723333333333333,0.1453888888888889,1.0,0.12766666666666668,0.8723333333333333,0.1276666666666667,0.9893007260221628,0.009333333333333334,0.9643333333333334,1.0
FashionMNIST,global_seed,0,3000,0.905,0.0,1.0473333333333332,0.17455555555555555,1.0,0.0036666666666666666,0.9453333333333334,0.05466666666666664,0.9072637517630465,0.08766666666666667,0.8863333333333333,1.0
FashionMNIST,global_seed,1,3000,0.9073333333333333,0.0,1.065,0.1775,1.0,0.0006666666666666666,0.9336666666666666,0.06633333333333336,0.902891824348447,0.09066666666666667,0.879,1.0
