dataset,context_accuracy,worst_task_context_accuracy,context_margin_auc_correct,negative_context_entropy_auc_correct,source_final_avg_acc_mean,source_final_avg_acc_std,source_min_task_acc_mean,source_avg_forgetting_mean,selected_method,representation,K,n_tasks,n_selected_rows,n_calibration,n_deployment
MNIST,1.0,1.0,,,0.9642,0.0049034426681669,0.9485,0.0214375,paired_rc2n_d_relaxed_clean_no_repair_release_gate_policy,MNIST-family original/raw representation,6,5,20000,5000,15000
FashionMNIST,0.92,0.6,0.5331080917874396,0.7843909420289855,0.901,0.019905,0.81825,0.0536875,paired_rc2o_v1_feature_only_regime_hard_selector_policy,MNIST-family original/raw representation,6,5,20000,5000,15000
PermutedMNIST,1.0,1.0,,,0.9698,0.008793463481473,0.9405,0.022125,paired_rc2o_v1_feature_only_regime_hard_selector_policy,MNIST-family original/raw representation,6,5,20000,5000,15000
RotatedMNIST,1.0,1.0,,,0.9678,0.0031888477542836,0.948,0.0215,paired_rc2o_v1_feature_only_regime_hard_selector_policy,MNIST-family original/raw representation,6,5,20000,5000,15000
SplitCIFAR10,1.0,1.0,,,0.91395,0.0063869985126036,0.8535,0.02425,paired_rc2o_v1_feature_only_regime_hard_selector_policy,"small-CNN frozen feature representation, 256 dimensions",10,5,20000,5000,15000
SplitCIFAR100,0.9329333333333333,0.5285333333333333,0.9185658948978702,0.9202331359847206,0.53556,0.0620661179710798,0.347,0.1976,paired_rc2o_v1_feature_only_regime_hard_selector_policy,"small-CNN frozen feature representation, 256 dimensions",100,10,50000,12500,37500
CORe50,0.7105066666666666,0.0,0.551710428192676,0.5938662258184748,0.3149,0.0345457124691328,0.0146,0.1672777777777778,paired_rc2o_v1_feature_only_regime_hard_selector_policy,"small-CNN frozen feature representation, 128 dimensions",50,10,100000,25000,75000
