dataset,strategy,n_seeds,K,n_tasks,n_selected_rows,n_calibration,n_deployment,target_coverage,coverage_mean_across_seeds,coverage_std_across_seeds,worst_seed_task_coverage,max_seed_task_coverage_deficit,mean_set_size_mean_across_seeds,normalized_mean_set_size,p90_set_size_mean_across_seeds,empty_rate_mean,singleton_action_rate_mean,no_decision_rate_mean,action_accuracy_mean,wrong_action_rate_all_mean,top1_accuracy_mean,valid_calibrator_rate_mean
MNIST,global_seed,5,6,5,20000,5000,15000,0.9,0.8961333333333332,0.020780065233562448,0.7883333333333333,0.11166666666666669,0.9065333333333333,0.15108888888888888,1.0,0.09346666666666667,0.9065333333333333,0.09346666666666667,0.9885423462875869,0.0104,0.9632666666666667,1.0
MNIST,inferred_bucket,5,6,5,20000,5000,15000,0.9,0.8889333333333334,0.023956441954328504,0.8283333333333334,0.07166666666666666,0.8995333333333333,0.14992222222222223,1.0,0.10046666666666666,0.8995333333333333,0.10046666666666668,0.9882124467042056,0.0106,0.9632666666666667,1.0
MNIST,oracle_qhat_selected_by_inferred_context,5,6,5,20000,5000,15000,0.9,0.8889333333333334,0.023956441954328504,0.8283333333333334,0.07166666666666666,0.8995333333333333,0.14992222222222223,1.0,0.10046666666666666,0.8995333333333333,0.10046666666666668,0.9882124467042056,0.0106,0.9632666666666667,1.0
MNIST,oracle_task,5,6,5,20000,5000,15000,0.9,0.8889333333333334,0.023956441954328504,0.8283333333333334,0.07166666666666666,0.8995333333333333,0.14992222222222223,1.0,0.10046666666666666,0.8995333333333333,0.10046666666666668,0.9882124467042056,0.0106,0.9632666666666667,1.0
MNIST,stale_t0_seed,5,6,5,20000,5000,15000,0.9,0.8097333333333333,0.12619438268885913,0.375,0.525,0.8181333333333333,0.13635555555555556,1.0,0.18186666666666668,0.8181333333333333,0.18186666666666668,0.9903248934325266,0.0084,0.9632666666666667,1.0
FashionMNIST,global_seed,5,6,5,20000,5000,15000,0.9,0.8990666666666666,0.016995751103012657,0.7833333333333333,0.1166666666666667,1.005,0.16749999999999998,1.0,0.024266666666666666,0.9464666666666666,0.05353333333333332,0.9205191196236608,0.0756,0.9007333333333334,1.0
FashionMNIST,inferred_bucket,5,6,5,20000,5000,15000,0.9,0.8987333333333334,0.013907232331097044,0.8116666666666666,0.08833333333333337,1.0223333333333333,0.17038888888888887,1.0,0.036533333333333334,0.905,0.09499999999999997,0.9319421271490309,0.0616,0.9007333333333334,1.0
FashionMNIST,oracle_qhat_selected_by_inferred_context,5,6,5,20000,5000,15000,0.9,0.8882666666666668,0.013398590307275667,0.7,0.20000000000000007,0.9982666666666666,0.1663777777777778,1.0,0.041999999999999996,0.9181333333333332,0.08186666666666664,0.9268737669968721,0.06753333333333333,0.9007333333333334,1.0
FashionMNIST,oracle_task,5,6,5,20000,5000,15000,0.9,0.9000666666666666,0.01524321342616298,0.8433333333333334,0.05666666666666664,1.0269333333333333,0.17115555555555556,1.2,0.038400000000000004,0.8982666666666667,0.10173333333333331,0.9358435770012704,0.05753333333333334,0.9007333333333334,1.0
FashionMNIST,stale_t0_seed,5,6,5,20000,5000,15000,0.9,0.7557333333333334,0.12856005946206187,0.35,0.55,0.7924666666666667,0.1320777777777778,1.0,0.2075333333333333,0.7924666666666667,0.20753333333333335,0.9556156614465108,0.036733333333333326,0.9007333333333334,1.0
PermutedMNIST,global_seed,5,6,5,20000,5000,15000,0.9,0.9024000000000001,0.004878524367060179,0.8133333333333334,0.08666666666666667,0.9141999999999999,0.15236666666666668,1.0,0.08580000000000002,0.9141999999999999,0.08580000000000002,0.9871241651129529,0.011800000000000001,0.9706666666666667,1.0
PermutedMNIST,inferred_bucket,5,6,5,20000,5000,15000,0.9,0.9028666666666666,0.005718391382198328,0.8616666666666667,0.03833333333333333,0.9180666666666667,0.15301111111111113,1.0,0.08253333333333332,0.9168666666666667,0.08313333333333332,0.9841375894995072,0.014599999999999998,0.9706666666666667,1.0
PermutedMNIST,oracle_qhat_selected_by_inferred_context,5,6,5,20000,5000,15000,0.9,0.9028666666666666,0.005718391382198328,0.8616666666666667,0.03833333333333333,0.9180666666666667,0.15301111111111113,1.0,0.08253333333333332,0.9168666666666667,0.08313333333333332,0.9841375894995072,0.014599999999999998,0.9706666666666667,1.0
PermutedMNIST,oracle_task,5,6,5,20000,5000,15000,0.9,0.9028666666666666,0.005718391382198328,0.8616666666666667,0.03833333333333333,0.9180666666666667,0.15301111111111113,1.0,0.08253333333333332,0.9168666666666667,0.08313333333333332,0.9841375894995072,0.014599999999999998,0.9706666666666667,1.0
PermutedMNIST,stale_t0_seed,5,6,5,20000,5000,15000,0.9,0.8280000000000001,0.06817135273216554,0.6466666666666666,0.2533333333333334,0.8355333333333332,0.13925555555555555,1.0,0.16446666666666668,0.8355333333333332,0.16446666666666668,0.9911783987438614,0.007533333333333334,0.9706666666666667,1.0
RotatedMNIST,global_seed,5,6,5,20000,5000,15000,0.9,0.8980666666666666,0.013444123044826879,0.8183333333333334,0.08166666666666667,0.9084666666666668,0.1514111111111111,1.0,0.09153333333333333,0.9084666666666668,0.09153333333333333,0.9885716991267035,0.010399999999999998,0.9679333333333332,1.0
